daf,amud,sugya,pdf_page,link
יד,"ע""א",61,128,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/128/
יד,"ע""ב",63,133,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/133/
טו,"ע""א",66,138,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/138/
טו,"ע""ב",68,142,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/142/
טז,"ע""א",71,149,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/149/
טז,"ע""ב",74,154,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/154/
יז,"ע""א",77,161,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/161/
יז,"ע""ב",80,166,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/166/
יח,"ע""א",83,172,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/172/
יח,"ע""ב",85,177,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/177/
